Населенный пункт,Лицевой счет,ФИО,Тип учета,Тип здания,Улица,Дом,Состояние подключения,Объект АСКУГ,Оснащенность СТМ,Дата последней проверки,Модель счетчика газа,Заводской номер,Очередная поверка счетчика,Предыдущие учтёные показания,Текущие (последние) учтёные показания,"Площадь жилая, м2",Количество проживающих,Газовый котел,Газовая колонка,Газовая плита
поселок И,11,Фамилия Имя Отчество,Счетчик,частный,ул 50 лет Октября,д.159/1,Подключен,нет,нет,2019-03-29,"ВК-G4T  Elster, Германия",1011,2025-08-18,6 372,6 372,"139,2",1,Navien Ace 24A;,ВПГ автоматический;,ПГ4 Bosch;
поселок И,12,Фамилия Имя Отчество,Счетчик,частный,ул 50 лет Октября,д.1А,Подключен,нет,нет,2018-04-16,"BK-G6T Elster, Германия",1012,2028-05-03,31 090,31 090,68,3,"АОГВ-23,2 Арбат;",Отсутствует,Брест-04;
поселок И,13,Фамилия Имя Отчество,Счетчик,частный,ул 50 лет Октября,д.98,Подключен,нет,нет,2017-06-22,"ВК-G4T  Elster, Германия",1013,2027-07-27,34 882,34 882,"45,7",2,АОГВ 11-5 DANI;,Отсутствует,ПГ4;
поселок И,14,Фамилия Имя Отчество,Счетчик,частный,ул 8 Марта,д.2Т,Подключен,нет,нет,2022-02-16,"ВК-G4T  Эльстер Газэлектроника, г.Арзамас",1014,2031-06-01,667,667,"58,8",1,Buderus Logamax U072-18;,Отсутствует,ПВ4;
поселок И,15,Фамилия Имя Отчество,Счетчик,частный,ул 8 Марта,д.68,Подключен,нет,нет,2018-10-22,"BK-G6T Elster, Германия",1015,2028-08-24,605,605,"94,1",3,АТЕМ Житомир-3 КС-Г-010 СН;,Отсутствует,Лада4; Лада4;
поселок И,16,Фамилия Имя Отчество,Счетчик,частный,ул 8 Марта,д.69/6,Подключен,нет,нет,2022-01-18,"ВК-G4T  Эльстер Газэлектроника, г.Арзамас",1016,2031-07-29,3 366,3 366,"70,6",1,Navien Deluxe Coaxial 13K;,Отсутствует,Samsung панель;
поселок И,17,Фамилия Имя Отчество,Счетчик,частный,ул 8 Марта,д.69/9,Подключен,нет,нет,2022-01-18,"ВК-G4T  Эльстер Газэлектроника, г.Арзамас",1017,2031-06-22,2 790,2 790,"73,6",1,Navien Deluxe Coaxial 13K;,Отсутствует,Гефест4;
поселок И,18,Фамилия Имя Отчество,Счетчик,частный,ул 8 Марта,д.69Х,Подключен,нет,нет,2020-10-12,"ВК-G4T  Elster, Германия",1018,2028-08-24,3 172,3 172,"62,6",1,Navien Ace 16к;,ВПГ автоматический;,ПГ4 Ariston;
поселок И,19,Фамилия Имя Отчество,Счетчик,частный,ул Абрикосовая,д.23,Подключен,нет,нет,2018-04-27,"ВК-G4T  Elster, Германия",1019,2026-03-04,0,13,"76,5",1,Navien Ace 13A;,ВПГ автоматический;,ПВ4 Gorenie;
поселок И,20,Фамилия Имя Отчество,Счетчик,частный,ул Абрикосовая,д.25,Подключен,нет,нет,2018-04-27,"ВК-G4T  Elster, Германия",1020,2026-12-16,3 210,3 210,"67,1",1,Navien Ace 16к;,ВПГ автоматический;,ПВ4 Gefest;
поселок И,21,Фамилия Имя Отчество,Счетчик,частный,ул Виноградная,д.13А,Подключен,нет,нет,2014-03-01,"ВК-G4T  Elster, Германия",1021,2026-01-22,20 605,20 605,"76,6",2,Navien Ace 13 K;,ВПГ автоматический;,Гефест4;
поселок И,22,Фамилия Имя Отчество,Счетчик,частный,ул Виноградная,д.40,Подключен,нет,нет,2019-08-28,"BK-G6T Elster, Германия",1022,2029-08-09,51 463,51 463,98,2,"АОГВ-23,2 Арбат;",ВПГ автоматический;,Лада4;
поселок И,23,Фамилия Имя Отчество,Счетчик,частный,ул Виноградная,д.48,Подключен,нет,нет,2016-10-07,"ВК-G4T  Elster, Германия",1023,2026-01-08,47 370,47 370,"78,1",1,Siberia;,ВПГ автоматический;,Electrolux панель; ПГ4 Flama;
поселок И,24,Фамилия Имя Отчество,Счетчик,частный,ул Волгоградская,д.35,Подключен,нет,нет,2019-11-05,"ВК-G4T  Elster, Германия",1024,2026-02-26,12 547,12 627,"43,7",8,"АОГВ-11,6-3 Ростов;",Отсутствует,Гефест4;
поселок И,25,Фамилия Имя Отчество,Счетчик,частный,ул Горная,д.2В,Подключен,нет,нет,2022-06-17,"ВК-G4T  Elster, Германия",1025,2030-02-04,12 235,12 235,"52,1",1,"АОГВ 17,4-3;",Отсутствует,Гефест4;
поселок И,26,Фамилия Имя Отчество,Счетчик,частный,ул Горная,д.51,Подключен,нет,нет,2022-08-24,"ВК-G4T  Эльстер Газэлектроника, г.Арзамас",1026,2031-07-01,700,700,"135,8",2,Baxi Eco Compact 24F;,Отсутствует,панель варочная;
